+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| BTCSTUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -38040.0            |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                         short                                                                                          |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+----------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score    |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+----------+
| NKNUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| CVCUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| COMPUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| FILUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| SUSHIUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| TRBUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| RENUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| XRPUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| EOSUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| 1INCHUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| MTLUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| AXSUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| CHRUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| KSMUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| ATOMUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| ZRXUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| TRXUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| BATUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| CELRUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| REEFUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| MATICUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| BALUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| SKLUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| RUNEUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| CTKUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| NEARUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| SXPUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| WAVESUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| OMGUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| HBARUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| 1000SHIBUSDT | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 704.25 | -18040.0 |
| SCUSDT       | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| FLMUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| ALGOUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| ONTUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| ANKRUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| RSRUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| ZENUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| EGLDUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| ETHUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| SNXUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| MANAUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| XTZUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| BCHUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| GRTUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| BTCSTUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| IOSTUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| ALPHAUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| DGBUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| AVAXUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| UNIUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| SFPUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| ADAUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| BELUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| QTUMUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| XEMUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| ETCUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| UNFIUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| CHZUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| LINAUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| NEOUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| SOLUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| DENTUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| BTSUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| RVNUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| HOTUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| FTMUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
| BNBUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 713.96 | -18040.0 |
