+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| ETCUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| UNFIUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| CHZUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| LINAUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| NEOUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| SOLUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| DENTUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| RVNUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| HOTUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| FTMUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| BNBUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| COTIUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| ICXUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| BTCUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| KNCUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| IOTAUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| TOMOUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
| KAVAUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
